answer,input,result
الملك الصالح,الملك الصالح,1
المكل الصالح,محمد صالح,0
علوم البيانات,علوم البيانات,1
علوم الطبيعة,علوم الطبيعة,1
الفيزياء,الفيزياء,1
الكيمياء,الكيمياء,1
الكيمياء الفيزيائية,الكيميا الفيزيائية,1
الكيمياء الحيوية,الكيميا الحيوية,1
لانهائية,لانهائية,1
لا نهائية,نهائية,0
نهائية,نهائية,1
نهائية,لانهائية,0
أم كلثوم,أمكلثوم,1
أم كلثوم,ام كلثوم,1
الحياة اللندنية,الحياه اللندنية,1
لبنى عبدالعزيز,لبني عبدالعزيز,1
منيرة الضو,منيره الضو,1
منيرة الضو,منيرةضو,1
الكيمياء,كيمياء,1
الإمام مالك,الإمام الشافعي,0
الامام ابوحنيفة,الإمام أبوحنيفة,1
الإمام أبوحنيفة,الإمام أبي حنيفة,1
عمرو عبدالمعز,عمرو بن العاص,0
عمرو بن العاص,عمر بن الخطاب,0
الحياة اللندنية,الحياة,0
كريم عبدالعزيز,كريم عبدالمعز,0
اللغة العــــربية,اللغة العربية,1
اللُغةُ العربية ,اللغة العربية,1
اللغَةَُ العربية ,اللغة العربية,1
اللغةًٌُ العربيــــــــــــة,اللغة العربية,1
